True,Age,Education ,Employment ,Income,Marital status ,Violence 
281,0.2666666666666666,2,2,2500,0,1
282,0.24444444444444446,1,2,2500,0,0
283,0.688888888888889,1,0,2500,0,1
284,0.1111111111111111,3,2,3000,1,0
285,0.2666666666666666,1,2,3000,0,0
286,0.1333333333333333,2,2,3000,1,0
287,0.2222222222222222,2,2,3000,1,0
288,0.2666666666666666,1,2,3000,0,0
289,0.08888888888888885,2,2,3000,0,0
290,0.7777777777777778,3,0,3500,0,1
291,0.24444444444444446,2,2,3500,0,0
292,0.2222222222222222,1,2,3500,0,0
293,0.33333333333333337,2,2,4000,0,0
294,0.7333333333333333,2,2,4000,0,0
295,0.1333333333333333,2,2,4000,1,0
296,0.6222222222222222,1,2,4000,0,0
297,0.7777777777777778,1,0,5000,0,0
298,0.6666666666666666,0,2,5000,0,1
299,0.1111111111111111,2,2,5000,1,0
300,0.2666666666666666,0,2,5000,0,0
301,0.3111111111111111,2,2,5000,1,0
302,0.1777777777777778,3,2,5000,1,0
303,0.15555555555555556,2,2,5000,0,1
304,0.28888888888888886,2,0,5000,0,1
305,0.6,0,2,5500,0,0
306,0.6666666666666666,0,2,5500,0,0
307,0.2222222222222222,0,2,6000,0,0
308,0.3555555555555555,3,2,6000,0,0
309,0.28888888888888886,3,2,6000,0,0
310,0.15555555555555556,2,2,6000,0,0
311,0.2666666666666666,2,2,7000,0,0
312,0.5333333333333333,1,0,7000,0,1
313,0.24444444444444446,3,2,8000,1,0
314,0.6666666666666666,0,2,8000,0,0
315,0.7333333333333333,1,2,8000,0,1
316,0.6444444444444445,1,2,9000,0,0
317,0.2666666666666666,3,2,10000,0,0
318,0.5555555555555556,0,2,10000,0,0
319,0.33333333333333337,1,2,10000,0,0
320,0.06666666666666665,2,0,10000,1,0
321,0.28888888888888886,3,0,12000,0,0
322,0.33333333333333337,2,2,12000,0,0
323,0.4444444444444444,0,2,15000,0,0
324,0.2222222222222222,1,0,15000,0,1
325,0.1777777777777778,2,0,15000,0,0
326,0.24444444444444446,1,0,15000,0,0
327,0.24444444444444446,2,2,18000,0,0
328,0.15555555555555556,2,0,20000,0,0
329,0.6222222222222222,3,0,22000,0,0
330,0.48888888888888893,3,0,22000,0,0
331,0.4444444444444444,3,0,22000,0,0
332,0.33333333333333337,3,0,22000,0,0
333,0.33333333333333337,3,0,22000,0,0
334,0.6,3,0,24000,0,0
335,0.5555555555555556,3,0,24000,0,0
336,0.6222222222222222,3,1,24000,0,1
337,0.5555555555555556,3,1,25000,0,0
338,0.24444444444444446,3,0,25000,0,0
339,0.3111111111111111,2,0,25000,0,0
340,0.6666666666666666,3,0,27000,0,0
341,0.6666666666666666,3,1,28000,0,0
342,0.2666666666666666,3,2,30000,1,0
343,0.24444444444444446,3,0,35000,0,0
344,0.2666666666666666,1,3,0,0,1
345,0.3111111111111111,1,3,0,0,0
346,0.19999999999999996,2,3,0,0,0
